state,latitude,longitude,quarter,temperature_2m_meanmean,temperature_2m_meansum,relative_humidity_2m_meanmean,relative_humidity_2m_meansum,wind_speed_10m_maxmax,temperature_2m_maxmax,relative_humidity_2m_maxmax,temperature_2m_minmin,relative_humidity_2m_minmin,precipitation_hours_sum,moderate_drizzle_sum,moderate_rain_sum,light_rain_sum,heavy_rain_sum,overcast_sum,partly_cloudy_sum,clear_sky_sum,light_drizzle_sum,mainly_clear_sum,heavy_drizzle_sum,light_snow_sum,heavy_snow_sum,moderate_snow_sum,year,D0_mean,D1_mean,D2_mean,D3_mean,D4_mean,D0_max,D1_max,D2_max,D3_max,D4_max,state_code,num_colonies,varroa_mites,other_pests_and_parasites,diseases,pesticides,other_or_unknown
Arkansas,34.969704,-92.373123,1,5.688537001822223,511.968330164,70.61391731111111,6355.252558,28.03612,26.3365,100.0,-9.3635,22.350216,349.0,9,7,6,1,33,8,6,4,3,4,4,2,3,2015,45.925384615384615,12.76846153846154,2.434615384615385,0.0,0.0,84.48,23.78,9.07,0.0,0.0,AR,13000.0,17.6,11.4,1.5,3.4,1.0
Kansas,38.5266,-96.726486,1,2.905060225822222,261.455420324,56.249800444444446,5062.48204,39.439312,27.8405,99.28677,-14.209499,14.678669,123.0,1,0,0,0,52,7,9,5,4,0,5,0,7,2015,90.3153846153846,44.98923076923077,19.21692307692308,1.88,0.0,99.54,68.7,22.45,1.88,0.0,KS,4600.0,32.7,1.3,1.1,14.2,9.5
Kentucky,37.66814,-84.670067,1,1.3995276821555551,125.957491394,67.63382043333333,6087.043839,28.33957,22.4805,100.0,-26.969501,20.044094,346.0,9,2,5,1,34,5,2,8,2,1,12,5,4,2015,38.93846153846154,13.941538461538462,0.0076923076923076,0.0,0.0,85.81,51.46,0.05,0.0,0.0,KY,7500.0,10.8,10.7,2.5,2.5,22.7
Nebraska,41.12537,-98.268082,1,0.1634214502111112,14.707930519000008,56.48193368888889,5083.374032,45.504055,27.6565,99.27658,-24.043499,13.103325,75.0,2,0,0,0,53,9,7,6,4,0,4,1,4,2015,34.34461538461539,2.0746153846153845,0.0,0.0,0.0,67.33,22.49,0.0,0.0,0.0,NE,10000.0,5.9,0.1,0.1,0.5,3.0
New Mexico,34.840515,-106.248482,1,2.4699305168000003,222.293746512,62.6262739,5636.364651,31.559086,21.9125,99.299515,-15.087501,7.749755,202.0,1,0,2,0,41,4,14,5,3,1,6,3,10,2015,86.05307692307693,65.3146153846154,24.4,2.276923076923077,0.0,87.99,72.76,29.29,3.7,0.0,NM,7000.0,17.1,0.1,0.0,0.2,1.3
Montana,46.921925,-110.454353,1,-2.744041665177778,-246.963749866,69.95350478888889,6295.815431,38.921646,16.937,98.92132,-27.363,20.97767,315.0,3,0,0,0,39,4,2,3,3,0,11,1,24,2015,3.522307692307692,0.0,0.0,0.0,0.0,5.37,0.0,0.0,0.0,0.0,MT,8500.0,8.7,0.5,0.6,0.8,7.9
Missouri,38.456085,-92.288368,1,1.439416542111111,129.54748879,64.83873126666666,5835.485814,23.906818,23.3915,100.0,-18.758501,16.532766,265.0,5,3,4,0,44,2,5,5,3,0,12,3,4,2015,14.33769230769231,0.9769230769230768,0.0,0.0,0.0,40.05,2.23,0.0,0.0,0.0,MO,12000.0,13.1,6.0,2.2,4.2,11.8
New York,42.165726,-74.948051,1,-9.067286963666668,-816.05582673,72.36652296666666,6512.987067,32.048088,7.191,100.0,-26.509,32.82894,455.0,0,0,1,0,27,1,0,1,1,0,26,4,29,2015,22.57,0.0,0.0,0.0,0.0,69.52,0.0,0.0,0.0,0.0,NY,27000.0,7.6,2.6,0.5,4.4,12.4
Mississippi,32.741646,-89.678696,1,8.914990758122222,802.349168231,72.73593216666667,6546.233895,28.943642,25.9955,100.0,-7.8045,25.225288,358.0,4,8,12,0,36,2,4,13,4,4,0,1,2,2015,31.264615384615382,7.802307692307693,0.1307692307692307,0.0,0.0,77.37,26.93,0.58,0.0,0.0,MS,34000.0,9.4,8.2,0.1,2.1,1.2
North Carolina,35.630066,-79.806419,1,5.403740810338889,486.3366729305,65.70376334444444,5913.338701,31.072817,25.515501,100.0,-12.2845,18.54871,281.0,3,1,13,0,35,6,4,14,4,3,3,1,3,2015,22.51307692307692,0.0,0.0,0.0,0.0,35.88,0.0,0.0,0.0,0.0,NC,24000.0,35.5,2.3,0.1,22.9,12.2
Minnesota,46.39241,-94.63623,1,-7.653694153322222,-688.832473799,64.7172456,5824.552104,40.377815,20.0195,95.268936,-29.7305,22.420063,101.0,1,0,0,0,57,2,1,2,1,0,19,1,6,2015,94.65384615384616,23.89846153846154,0.0,0.0,0.0,99.99,91.94,0.0,0.0,0.0,MN,28000.0,1.4,0.1,0.0,0.1,2.1
South Carolina,33.856892,-80.945007,1,8.841171214111112,795.70540927,68.02202226666667,6121.982004,35.728977,27.078,99.6822,-6.922,19.48817,289.0,6,5,13,1,40,4,4,10,4,2,1,0,0,2015,3.047692307692308,0.0,0.0,0.0,0.0,18.14,0.0,0.0,0.0,0.0,SC,17000.0,10.5,2.3,0.2,0.3,3.6
North Dakota,47.528912,-99.784012,1,-7.499912058588889,-674.992085273,72.82507591111111,6554.256832,40.88497,18.169,98.1736,-31.130999,21.00761,175.0,1,0,1,0,51,3,1,1,1,0,15,0,16,2015,72.8453846153846,10.35153846153846,0.0,0.0,0.0,94.82,21.14,0.0,0.0,0.0,ND,57000.0,1.7,1.7,0.0,0.0,2.5
Ohio,40.388783,-82.764915,1,-4.120916730611111,-370.882505755,71.75258191111112,6457.732372,37.008278,18.5245,100.0,-28.5755,31.185118,393.0,3,1,4,0,39,0,0,3,0,0,16,2,22,2015,3.1,0.0,0.0,0.0,0.0,7.59,0.0,0.0,0.0,0.0,OH,18000.0,10.7,1.6,1.0,3.0,17.8
Massachusetts,42.407211,-71.382439,1,-4.7771248248888885,-429.94123424,65.9373940888889,5934.365468,34.524357,12.6385,100.0,-21.511501,17.93147,397.0,4,1,2,0,30,1,6,0,0,0,18,6,22,2015,0.1699999999999999,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,MA,2900.0,23.5,3.5,2.1,2.8,7.6
Oklahoma,35.565342,-96.928917,1,6.004185169888889,540.37666529,63.82293541111111,5744.064187,32.359974,27.159,99.65494,-10.141,21.388231,188.0,3,2,7,1,42,4,11,8,3,0,2,1,6,2015,90.79153846153848,64.91076923076923,46.48769230769231,26.73153846153846,6.124615384615385,98.52,70.5,50.96,37.38,8.41,OK,9500.0,14.5,10.1,0.5,0.0,2.9
Maryland,39.045753,-76.641273,1,0.2886480787777777,25.97832709,64.98541124444445,5848.687012,36.288643,18.1655,100.0,-18.0845,25.715513,356.0,3,2,5,0,33,3,2,4,4,6,9,4,15,2015,6.863846153846154,0.0,0.0,0.0,0.0,17.85,0.0,0.0,0.0,0.0,MD,7500.0,10.1,1.8,0.4,0.0,24.2
Maine,45.367584,-68.972168,1,-10.377046100666666,-933.93414906,67.9137205,6112.234845,40.340885,8.583,99.651245,-27.667,32.0049,344.0,1,1,0,0,32,3,3,0,2,0,17,4,27,2015,5.053846153846154,0.0,0.0,0.0,0.0,65.7,0.0,0.0,0.0,0.0,ME,3100.0,4.4,0.1,0.0,0.0,7.5
Oregon,44.572021,-122.070938,1,4.318958334555555,388.70625011,78.63999502222222,7077.599552,27.416782,19.5,100.0,-10.55,24.167202,525.0,5,1,4,0,43,0,1,5,5,2,8,2,14,2015,87.11999999999999,81.82461538461538,47.35076923076922,33.956153846153846,0.0,89.55,83.95,49.48,34.7,0.0,OR,77000.0,20.2,2.0,0.4,0.6,1.6
Louisiana,31.169546,-91.867805,1,11.067430350444443,996.06873154,75.16005643333334,6764.405079,30.962095,26.935,100.0,-5.3650002,31.33966,367.0,6,10,14,1,34,4,6,10,2,3,0,0,0,2015,38.51076923076923,16.88153846153846,0.0,0.0,0.0,77.57,52.16,0.0,0.0,0.0,LA,51000.0,17.2,4.7,4.3,1.7,3.1
Pennsylvania,40.590752,-77.209755,1,-4.097773201666667,-368.79958815,66.8322228888889,6014.90006,29.301876,19.3485,100.0,-25.1015,23.617577,363.0,4,0,2,0,35,2,0,2,4,3,13,4,21,2015,49.68461538461538,0.0,0.0,0.0,0.0,55.16,0.0,0.0,0.0,0.0,PA,14000.0,28.1,6.3,1.9,1.9,17.8
Michigan,44.182205,-84.506836,1,-8.148110949555555,-733.32998546,70.42091648888889,6337.882484,29.947153,15.063,100.0,-30.187,16.303053,167.0,0,0,0,0,44,3,2,2,1,0,23,2,13,2015,7.193846153846153,0.0484615384615384,0.0,0.0,0.0,58.97,0.63,0.0,0.0,0.0,MI,16500.0,14.3,3.1,1.1,1.6,8.3
Wyoming,42.755966,-107.30249,1,-5.606546162722222,-504.589154645,70.2343327,6321.089943,50.25837,17.4885,97.81495,-27.0115,9.799643,119.0,0,0,0,0,45,12,3,2,6,0,12,1,9,2015,12.686923076923078,3.980769230769231,0.0638461538461538,0.0,0.0,27.84,7.6,0.75,0.0,0.0,WY,5500.0,0.9,0.0,0.0,0.0,0.7
New Jersey,40.298904,-74.521011,1,-1.7693701759333331,-159.243315834,63.73714973333333,5736.343476,32.048088,16.776,99.66004,-18.774,23.526522,368.0,1,3,5,0,33,4,4,7,1,3,8,9,12,2015,6.93076923076923,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,NJ,6000.0,40.1,13.2,30.4,11.1,19.5
Arizona,33.729759,-111.431221,1,10.855115982222223,976.9604384,52.18248656666667,4696.423791,17.148247,27.800001,99.642555,-9.75,7.995852,219.0,6,0,3,0,35,6,17,4,13,4,0,0,2,2015,95.07846153846154,80.67615384615384,30.454615384615384,2.411538461538462,0.0,100.0,82.71,39.19,4.94,0.0,AZ,35000.0,26.9,20.5,0.1,0.0,3.1
West Virginia,38.491226,-80.954456,2,18.16189906043956,1652.7328145,72.24647213186813,6574.428964,29.810522,31.466501,100.0,0.8665,24.007727,432.0,12,13,14,1,28,2,0,17,1,3,0,0,0,2015,13.930769230769233,0.7761538461538462,0.0,0.0,0.0,44.73,9.08,0.0,0.0,0.0,WV,4700.0,15.6,8.3,0.6,2.7,4.6
Mississippi,32.741646,-89.678696,2,22.67201141758241,2063.153039,74.59378064835165,6788.034039,23.177402,35.945503,100.0,9.0955,28.352087,327.0,8,16,13,0,29,1,2,17,2,3,0,0,0,2015,8.693076923076923,0.5838461538461538,0.0,0.0,0.0,26.09,3.76,0.0,0.0,0.0,MS,89000.0,10.1,6.0,0.3,0.1,2.3
Washington,47.400902,-121.490494,2,10.912900205494504,993.0739187,75.25452823076922,6848.162069,15.84,31.4235,100.0,-3.0765,23.828356,446.0,14,1,6,0,25,10,3,14,4,1,4,1,8,2015,80.72307692307693,55.065384615384616,18.85538461538461,0.0,0.0,100.0,92.52,45.79,0.0,0.0,WA,105000.0,48.7,0.2,2.2,2.0,3.2
Illinois,40.633125,-89.398529,2,17.12721387802198,1558.5764629,69.1544453956044,6293.054531,38.56203,32.878998,99.68158,-2.271,25.565857,407.0,5,16,16,0,26,6,1,9,3,9,0,0,0,2015,9.987692307692308,0.0,0.0,0.0,0.0,24.31,0.0,0.0,0.0,0.0,IL,9500.0,10.3,3.7,0.2,2.5,2.4
Ohio,40.388783,-82.764915,2,16.084389527472528,1463.679447,72.43218946153847,6591.329241,40.877045,30.2745,100.0,-2.2254999,23.664045,461.0,10,20,15,2,27,0,0,11,2,4,0,0,0,2015,10.743076923076924,0.1823076923076923,0.0,0.0,0.0,30.44,2.37,0.0,0.0,0.0,OH,17500.0,15.8,4.1,3.0,11.9,29.0
Nebraska,41.12537,-98.268082,2,16.388025005494505,1491.3102755,67.18673952747253,6113.993297,38.548588,32.3565,99.68128,-0.5935,16.415167,359.0,8,13,13,4,24,5,5,10,3,5,1,0,0,2015,34.82230769230769,13.315384615384614,0.0,0.0,0.0,68.46,28.15,0.0,0.0,0.0,NE,29000.0,6.5,6.9,0.0,1.4,2.1
Alabama,32.806671,-86.79113,2,22.64993456043956,2061.144045,73.74821151648351,6711.087248,22.73707,35.1495,100.0,8.8495,27.416792,330.0,7,15,10,4,28,7,2,9,2,7,0,0,0,2015,30.67538461538461,3.819230769230769,0.4207692307692307,0.0,0.0,55.17,17.62,3.09,0.0,0.0,AL,7500.0,16.7,42.5,0.0,2.3,4.1
South Carolina,33.856892,-80.945007,2,23.16930026923077,2108.4063245,65.49781797802197,5960.301436,27.783045,38.378,99.68892,7.278,19.457657,244.0,7,7,13,0,29,9,0,16,4,6,0,0,0,2015,28.720769230769232,3.610769230769231,0.0,0.0,0.0,71.12,27.3,0.0,0.0,0.0,SC,17500.0,29.9,5.4,0.5,1.4,3.7
Wisconsin,44.268543,-89.616508,2,13.462328906593406,1225.0719305,66.3545909010989,6038.267772,32.283787,27.889,99.68282,-3.261,23.403666,309.0,5,11,8,1,32,3,1,15,4,4,5,1,1,2015,59.08615384615385,27.95615384615385,0.0,0.0,0.0,100.0,55.36,0.0,0.0,0.0,WI,25000.0,35.3,5.6,1.0,8.2,15.2
Montana,46.921925,-110.454353,2,7.703735183956044,701.03990174,66.39660625274726,6042.091169,30.274265,29.637,100.0,-11.763,21.540154,497.0,12,9,14,0,12,5,2,13,0,2,9,4,9,2015,28.73692307692308,7.762307692307692,1.2915384615384615,0.0,0.0,59.92,40.56,16.23,0.0,0.0,MT,36000.0,9.0,0.9,0.8,5.3,1.6
North Carolina,35.630066,-79.806419,2,20.790363225274724,1891.9230535,68.02029247252747,6189.846615,25.862436,36.4655,100.0,4.8155003,21.589224,251.0,2,10,14,0,33,8,1,19,1,3,0,0,0,2015,33.24307692307693,2.3507692307692305,0.0,0.0,0.0,65.04,15.86,0.0,0.0,0.0,NC,19500.0,51.0,14.3,0.3,3.5,5.8
Maine,45.367584,-68.972168,2,10.064341373956044,915.85506503,71.93513301098902,6546.097104,28.732422,28.432999,100.0,-12.367,24.383415,366.0,8,7,8,1,32,5,1,12,1,7,5,0,4,2015,65.97923076923077,3.813076923076923,0.0,0.0,0.0,100.0,7.38,0.0,0.0,0.0,ME,4600.0,72.1,34.5,0.1,34.5,0.5
Indiana,39.849426,-86.258278,2,17.31778314285714,1575.918266,70.83127971428571,6445.646454,35.369884,30.785,100.0,-1.2650001,26.168797,391.0,5,19,13,1,31,5,0,13,1,3,0,0,0,2015,21.246923076923075,1.0823076923076924,0.0,0.0,0.0,34.88,14.07,0.0,0.0,0.0,IN,8000.0,15.4,1.8,7.0,0.5,4.4
Kentucky,37.66814,-84.670067,2,18.985558884615383,1727.6858585,72.16948668131869,6567.423288,28.73242,32.4805,100.0,1.5304999,27.105173,358.0,7,19,12,0,34,4,1,11,1,2,0,0,0,2015,21.194615384615386,3.529230769230769,0.0,0.0,0.0,76.06,34.62,0.0,0.0,0.0,KY,7500.0,21.7,18.2,5.3,1.8,9.5
Oregon,44.572021,-122.070938,2,10.438575890549451,949.91040604,69.2619916043956,6302.841236,20.523157,34.6,100.0,-4.5,16.309153,399.0,6,1,2,0,26,9,3,21,4,2,5,1,11,2015,96.64846153846156,89.43153846153845,66.30923076923077,34.00846153846154,0.0184615384615384,100.0,98.6,83.66,34.09,0.12,OR,82000.0,39.3,20.9,13.2,16.0,5.8
California,36.116203,-119.681564,2,23.814307285714285,2167.101963,33.383117890109894,3037.8637280000003,25.277023,42.9565,94.86035,7.7565,4.6335077,65.0,5,0,3,0,39,10,16,7,11,0,0,0,0,2015,99.85923076923078,98.42615384615384,93.9223076923077,68.21,46.37461538461538,99.86,98.71,94.59,71.08,46.77,CA,1040000.0,50.9,21.5,7.8,23.0,14.2
Colorado,39.059811,-105.311104,2,7.99415935867033,727.468501639,63.68594758241758,5795.42123,29.363731,28.640999,100.0,-10.709001,11.811558,434.0,13,4,12,0,14,2,1,18,1,6,8,2,10,2015,49.04,29.341538461538462,16.38230769230769,0.0038461538461538,0.0,74.51,51.74,39.75,0.05,0.0,CO,12000.0,38.6,1.8,4.6,2.8,6.6
Hawaii,20.902977,-156.207483,2,24.64768318681319,2242.93917,73.46810665934065,6685.597706,44.67047,30.744501,94.885765,19.744501,48.046505,795.0,20,0,1,0,7,5,0,48,7,3,0,0,0,2015,65.04076923076923,22.25923076923077,0.2061538461538461,0.0,0.0,73.4,24.56,1.34,0.0,0.0,HI,13500.0,60.1,61.0,0.3,0.1,3.2
Missouri,38.456085,-92.288368,2,18.71601855934066,1703.1576889,74.5366150989011,6782.831974,29.68636,33.391502,100.0,0.8915,28.337616,421.0,5,19,15,1,29,3,1,13,3,2,0,0,0,2015,9.11923076923077,0.0,0.0,0.0,0.0,34.6,0.0,0.0,0.0,0.0,MO,11500.0,5.1,6.2,3.1,1.6,7.4
Michigan,44.182205,-84.506836,2,12.29351765846154,1118.71010692,68.8657019010989,6266.778873,33.709534,26.713001,100.0,-5.687,21.35206,283.0,8,10,11,0,43,0,1,8,2,3,3,0,2,2015,49.75153846153846,0.3330769230769231,0.0,0.0,0.0,82.68,0.63,0.0,0.0,0.0,MI,58000.0,26.9,13.0,0.6,9.1,16.4
Vermont,44.045876,-72.710686,2,9.636238958186812,876.897745195,72.0916063956044,6560.336182,30.413076,27.056501,100.0,-12.8435,25.469013,402.0,9,12,7,0,32,0,0,14,3,4,3,1,6,2015,64.3923076923077,9.973846153846154,0.0,0.0,0.0,100.0,28.19,0.0,0.0,0.0,VT,6000.0,3.7,1.9,0.1,0.0,1.3
New York,42.165726,-74.948051,2,11.678477286065934,1062.741433032,73.31384346153847,6671.559755,30.385365,26.391,100.0,-9.259,27.409351,405.0,10,9,9,0,33,3,1,16,2,2,2,0,4,2015,63.42692307692308,10.237692307692308,0.0,0.0,0.0,80.91,34.64,0.0,0.0,0.0,NY,24000.0,19.1,12.5,4.5,4.4,3.3
Pennsylvania,40.590752,-77.209755,2,16.205528004395603,1474.7030484,68.82855496703297,6263.398502,25.264202,31.7485,100.0,-2.2015,25.80561,339.0,12,6,17,0,37,1,0,15,1,2,0,0,0,2015,31.59,1.5546153846153847,0.0,0.0,0.0,54.17,7.35,0.0,0.0,0.0,PA,15500.0,11.4,5.8,2.6,1.6,6.7
Louisiana,31.169546,-91.867805,2,23.686601560439563,2155.480742,79.04871158241758,7193.432754,25.420181,33.835003,100.0,11.435,37.273815,372.0,11,15,10,1,17,3,0,20,3,11,0,0,0,2015,6.201538461538462,2.486923076923077,0.0,0.0,0.0,44.33,18.54,0.0,0.0,0.0,LA,44000.0,36.4,3.7,0.2,1.1,5.0
Tennessee,35.747845,-86.692345,2,20.22969317032967,1840.9020785,72.89664089010988,6633.594321,25.6233,33.287502,100.0,3.1375,29.55759,355.0,14,13,11,0,33,2,1,13,3,1,0,0,0,2015,21.05923076923077,2.4,0.0,0.0,0.0,63.77,11.99,0.0,0.0,0.0,TN,7500.0,47.8,26.3,1.8,9.8,3.0
Texas,31.054487,-97.563461,2,22.910392307692305,2084.8457,76.09175214285715,6924.349445,31.883888,33.844,99.69171,10.094,25.180733,442.0,6,20,9,2,20,3,1,21,6,3,0,0,0,2015,26.036153846153848,16.302307692307693,8.79076923076923,4.053846153846154,1.0492307692307692,48.85,36.38,25.39,15.46,3.87,TX,305000.0,19.3,22.9,2.5,6.6,7.4
Georgia,33.040619,-83.643074,2,22.285254835164835,2027.95819,71.71916504395604,6526.444019,22.180206,35.394,100.0,9.2439995,24.149126,281.0,6,12,9,2,29,5,0,17,5,6,0,0,0,2015,33.966923076923074,4.056153846153847,0.4061538461538461,0.0,0.0,48.83,13.56,2.82,0.0,0.0,GA,114000.0,52.8,17.5,2.9,28.7,11.5
